,local_area,address,primary_address,address is primary?,n_pids,pid,units,year_built,bsns_group,bsns_name,bsns_trade_name,bsns_type,value_land,value_bldg,bldg_land_ratio,value_per_unit,VTU members,WestEnd Inbox,VTU Main Inbox,zoning,name,management,n_issues,issues_details,VTU Building,notes,prospect?
77,,1717 adanac st,1717 adanac st,TRUE,1,,118,1979,['Vancouver East Lions Society'],['Vancouver East Lions Society'],[],['Non-profit Housing'],30825000,23185000,0.7521492295,,,,,,Adanac Tower,Vancouver East Lion's Housing Foundation,,,,,
78,Fairview,2893 cambie st,500 w 12th ave,FALSE,1,2672278,118,1977,,,,,0,0,,,,,,CD-1 (62),,,,,,,
79,Fairview,1783 w 14th ave,1783 w 14th ave,TRUE,1,,116,2021,['Sun Life Assurance Co of Canada'],['Sun Life Assurance Co of Canada'],[],['Apartment House'],0,0,,,,,,CD-1 (661),,,,,,,
80,Oakridge,6019 tisdall st,6019 tisdall st,TRUE,1,,116,1965,['Hollyburn Properties Ltd'],['Hollyburn Properties Ltd'],['Willow Gardens'],['Apartment House'],38811000,15654000,0.4033392595,,,,,CD-1 (35),,,,,,,
81,Kensington-Cedar Cottage,3365 commercial dr,1771 e 18th ave,FALSE,1,29970342,115,2020,,,,,16050000,38406000,2.392897196,,,,,CD-1(644),,,,,,,
82,,133 w pender st,133 w pender st,TRUE,1,,114,1990,['BC Indigenous Housing Society'],['BC Indigenous Housing Society'],[],['Non-profit Housing'],4843000,7585000,1.566177989,,,,,,Pendera,Vancouver Native Housing Society,,,,,
1370,West End,1346 pendrell st,1346 pendrell st,TRUE,1,,19,1951,['Derik Ventures Ltd'],['Derik Ventures Ltd'],['Dorset Apartments'],['Apartment House'],"$15,172,000.00","$82,600.00",0.005444239388,"$802,873.68",,,,RM-5,,,,,,,
84,,1288 w cordova st,1288 w cordova st,TRUE,1,,113,2002,['Affordable Housing Advisory Association'],['Affordable Housing Advisory Association'],[],['Non-profit Housing'],0,0,,,,,,,C-Side,Affordable Housing Societies,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1288&street=W%20CORDOVA%20STREET,,,
85,Mount Pleasant,525 e 5th ave,525 e 5th ave,TRUE,1,,111,1977,['Prang Holdings Ltd'],['Prang Holdings Ltd'],[],['Apartment House'],29174000,6514000,0.2232810036,,,,,RM-4N,,,2,http://app.vancouver.ca/RPS_Net/Default.aspx?num=525&street=E%205TH%20AVENUE,,,
86,,1249 howe st,1249 howe st,TRUE,1,,110,2013,['McLaren Housing Society of British Columbia'],['McLaren Housing Society of British Columbia'],[],['Non-profit Housing'],1,1,1,,,,,,McLaren House,McLaren Housing Society of BC,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1249&street=HOWE%20STREET,,,
